scenario_key,scenario_name,pd_multiplier,issue_year,grade,loan_status,loans,exposure_at_default,expected_loss,expected_loss_rate,exposure_weighted_pd,exposure_weighted_lgd
baseline,Baseline,1.0,2015,C,Late (31-120 days),448,3475775.4699999997,568041.4632133954,0.1634286990388926,0.1830673120007808,0.8927246336483906
baseline,Baseline,1.0,2015,D,Current,8601,61088100.739999995,12982199.396155585,0.21251600948292285,0.2382989822628666,0.8918041003150311
baseline,Baseline,1.0,2015,D,In Grace Period,171,1297386.1300000001,275715.32310609275,0.21251600948292296,0.2382989822628663,0.8918041003150303
baseline,Baseline,1.0,2015,D,Late (16-30 days),57,428918.04000000004,91151.95025603671,0.2125160094829229,0.2382989822628663,0.8918041003150303
baseline,Baseline,1.0,2015,D,Late (31-120 days),311,2492982.4699999993,529798.6862352807,0.212516009482923,0.23829898226286647,0.8918041003150308
baseline,Baseline,1.0,2015,E,Current,5937,44075395.93000002,11509844.472787887,0.26113989970884605,0.29363559484171475,0.8893332562410011
baseline,Baseline,1.0,2015,E,Default,1,21999.94,19565.278277306643,0.8893332562410008,1.0,0.8893332562410008
baseline,Baseline,1.0,2015,E,In Grace Period,119,976868.1599999999,255099.25333116454,0.2611398997088456,0.293635594841715,0.8893332562410009
baseline,Baseline,1.0,2015,E,Late (16-30 days),59,473138.6,123555.36655238361,0.2611398997088456,0.293635594841715,0.8893332562410009
baseline,Baseline,1.0,2015,E,Late (31-120 days),268,2432641.620000001,635259.7886743639,0.26113989970884555,0.2936355948417148,0.8893332562410003
baseline,Baseline,1.0,2015,F,Current,1467,11935514.500000007,3618106.9041991965,0.3031379086506237,0.34327371297356485,0.8830792955997999
baseline,Baseline,1.0,2015,F,In Grace Period,37,340611.62,103252.29414890104,0.30313790865062396,0.343273712973565,0.8830792955998007
baseline,Baseline,1.0,2015,F,Late (16-30 days),17,156644.52,47484.89219438084,0.30313790865062396,0.343273712973565,0.8830792955998007
baseline,Baseline,1.0,2015,F,Late (31-120 days),80,774884.0399999999,234896.7273323465,0.30313790865062407,0.3432737129735651,0.8830792955998007
baseline,Baseline,1.0,2015,G,Current,240,1928875.9900000005,621258.452452105,0.32208314877313854,0.3638273272503616,0.8852637629154843
baseline,Baseline,1.0,2015,G,In Grace Period,11,91638.72,29515.28748713999,0.3220831487731386,0.36382732725036165,0.8852637629154845
baseline,Baseline,1.0,2015,G,Late (16-30 days),1,12002.35,3865.75468067728,0.3220831487731386,0.36382732725036165,0.8852637629154845
baseline,Baseline,1.0,2015,G,Late (31-120 days),19,216564.23,69751.6891100302,0.3220831487731386,0.36382732725036165,0.8852637629154845
baseline,Baseline,1.0,2016,A,Current,20796,56055169.6499999,2762708.8756925752,0.0492855323236468,0.05508035968000887,0.8947932186712741
baseline,Baseline,1.0,2016,A,Default,2,3942.94,3528.115973627713,0.894793218671274,1.0,0.894793218671274
baseline,Baseline,1.0,2016,A,In Grace Period,97,344666.05999999994,16987.050240993878,0.04928553232364649,0.05508035968000873,0.8947932186712743
baseline,Baseline,1.0,2016,A,Late (16-30 days),67,156269.24,7701.81267921167,0.049285532323646485,0.05508035968000874,0.894793218671274
baseline,Baseline,1.0,2016,A,Late (31-120 days),296,1062503.4699999995,52366.04911467155,0.049285532323646505,0.05508035968000877,0.8947932186712741
baseline,Baseline,1.0,2016,B,Current,42968,178506695.11999923,18165857.131732225,0.10176569074633543,0.11377813045566397,0.8944222438774505
baseline,Baseline,1.0,2016,B,Default,1,468.01,418.5985543570843,0.8944222438774477,1.0,0.8944222438774477
baseline,Baseline,1.0,2016,B,In Grace Period,410,1794483.6600000001,182616.8691929119,0.10176569074633529,0.11377813045566325,0.8944222438774477
baseline,Baseline,1.0,2016,B,Late (16-30 days),217,769993.7099999998,78358.94176848338,0.1017656907463353,0.11377813045566319,0.8944222438774477
baseline,Baseline,1.0,2016,B,Late (31-120 days),1127,5044045.020000002,513310.72561591264,0.10176569074633525,0.11377813045566317,0.8944222438774473
baseline,Baseline,1.0,2016,C,Current,42340,251487630.31999832,41100296.24757144,0.1634286990388932,0.18306731200078213,0.8927246336483928
baseline,Baseline,1.0,2016,C,Default,2,5253.01,4689.491427801331,0.8927246336483904,1.0,0.8927246336483904
baseline,Baseline,1.0,2016,C,In Grace Period,609,3524120.5100000002,575942.4302055787,0.1634286990388926,0.18306731200078075,0.8927246336483904
baseline,Baseline,1.0,2016,C,Late (16-30 days),305,1977637.6900000002,323202.7548469808,0.1634286990388926,0.18306731200078075,0.8927246336483902
baseline,Baseline,1.0,2016,C,Late (31-120 days),1574,10161117.579999998,1660618.226880621,0.16342869903889265,0.18306731200078089,0.8927246336483906
baseline,Baseline,1.0,2016,D,Current,16763,119440170.70000014,25382948.449123092,0.21251600948292235,0.2382989822628667,0.8918041003150324
baseline,Baseline,1.0,2016,D,Default,3,17892.239999999998,15956.372995820602,0.8918041003150307,1.0,0.8918041003150307
baseline,Baseline,1.0,2016,D,In Grace Period,365,2822405.39,599806.3306258931,0.212516009482923,0.23829898226286633,0.8918041003150307
baseline,Baseline,1.0,2016,D,Late (16-30 days),192,1284030.74,272877.08891820454,0.21251600948292293,0.23829898226286636,0.8918041003150307
baseline,Baseline,1.0,2016,D,Late (31-120 days),866,6859265.77,1457703.7894232085,0.2125160094829229,0.23829898226286636,0.8918041003150308
baseline,Baseline,1.0,2016,E,Current,6476,60993150.010000035,15927745.076537978,0.2611398997088455,0.293635594841715,0.8893332562410003
baseline,Baseline,1.0,2016,E,Default,1,11105.05,9876.090277219126,0.8893332562410008,1.0,0.8893332562410008
baseline,Baseline,1.0,2016,E,In Grace Period,175,1762522.5000000002,460264.9488845838,0.26113989970884555,0.2936355948417149,0.8893332562410007
baseline,Baseline,1.0,2016,E,Late (16-30 days),75,858196.74,224109.41061405823,0.2611398997088456,0.2936355948417149,0.8893332562410008
baseline,Baseline,1.0,2016,E,Late (31-120 days),475,5094768.91,1330447.4421971445,0.26113989970884555,0.29363559484171503,0.8893332562410008
baseline,Baseline,1.0,2016,F,Current,2004,21081301.999999993,6390541.799912217,0.3031379086506241,0.3432737129735652,0.8830792955998008
baseline,Baseline,1.0,2016,F,Default,1,14928.28,13182.85498691659,0.8830792955998006,1.0,0.8830792955998006
baseline,Baseline,1.0,2016,F,In Grace Period,70,923881.0499999999,280063.3693389426,0.303137908650624,0.34327371297356507,0.8830792955998007
baseline,Baseline,1.0,2016,F,Late (16-30 days),27,312837.13999999996,94832.79636784247,0.30313790865062407,0.3432737129735651,0.8830792955998006
baseline,Baseline,1.0,2016,F,Late (31-120 days),158,2114754.6299999994,641062.2958474241,0.30313790865062407,0.3432737129735652,0.8830792955998008
baseline,Baseline,1.0,2016,G,Current,483,5520008.470000001,1777901.709271995,0.3220831487731385,0.3638273272503617,0.8852637629154846
baseline,Baseline,1.0,2016,G,In Grace Period,23,302504.06000000006,97431.46016145845,0.3220831487731386,0.36382732725036165,0.8852637629154844
baseline,Baseline,1.0,2016,G,Late (16-30 days),6,71384.56,22991.763858585036,0.3220831487731386,0.36382732725036165,0.8852637629154846
baseline,Baseline,1.0,2016,G,Late (31-120 days),37,415148.92,133712.4713633678,0.3220831487731386,0.3638273272503616,0.8852637629154846
baseline,Baseline,1.0,2017,A,Current,50866,360338525.9700034,17759476.069149375,0.04928553232364549,0.0550803596800081,0.8947932186712744
baseline,Baseline,1.0,2017,A,Default,3,37177.35,33266.04066816848,0.8947932186712739,1.0,0.8947932186712739
baseline,Baseline,1.0,2017,A,In Grace Period,204,1704909.5299999998,84027.37374970796,0.049285532323646505,0.05508035968000873,0.8947932186712741
baseline,Baseline,1.0,2017,A,Late (16-30 days),107,878000.3900000001,43272.71660151922,0.04928553232364648,0.05508035968000873,0.894793218671274
baseline,Baseline,1.0,2017,A,Late (31-120 days),491,4302151.240000003,212033.8140002358,0.04928553232364645,0.0550803596800087,0.8947932186712735
baseline,Baseline,1.0,2017,B,Current,82983,667873058.3900067,67966563.11792606,0.10176569074633456,0.11377813045566344,0.8944222438774484
baseline,Baseline,1.0,2017,B,Default,4,44827.14,40094.39114540849,0.8944222438774476,1.0,0.8944222438774476
baseline,Baseline,1.0,2017,B,In Grace Period,626,5530546.609999999,562819.8959714529,0.10176569074633529,0.11377813045566314,0.8944222438774478
baseline,Baseline,1.0,2017,B,Late (16-30 days),357,3155486.67,321120.2806134032,0.10176569074633524,0.11377813045566322,0.8944222438774476
baseline,Baseline,1.0,2017,B,Late (31-120 days),1848,16809931.269999996,1710674.2670899709,0.10176569074633529,0.11377813045566329,0.894422243877448
baseline,Baseline,1.0,2017,C,Current,85187,851450473.620007,139151443.1997668,0.16342869903889273,0.18306731200077775,0.8927246336483906
baseline,Baseline,1.0,2017,C,Default,6,56967.83,50856.58516649378,0.8927246336483903,1.0,0.8927246336483903
baseline,Baseline,1.0,2017,C,In Grace Period,1142,12580344.190000001,2055989.2844331902,0.1634286990388925,0.18306731200078075,0.8927246336483902
baseline,Baseline,1.0,2017,C,Late (16-30 days),548,6033937.309999999,986118.5246555352,0.16342869903889265,0.18306731200078077,0.8927246336483905
baseline,Baseline,1.0,2017,C,Late (31-120 days),3081,34708781.19999998,5672410.956741577,0.1634286990388928,0.18306731200078086,0.8927246336483908
baseline,Baseline,1.0,2017,D,Current,29566,306748514.340001,65188970.18235152,0.21251600948292082,0.23829898226286536,0.8918041003150274
baseline,Baseline,1.0,2017,D,Default,4,32770.95,29225.267581218846,0.8918041003150305,1.0,0.8918041003150305
baseline,Baseline,1.0,2017,D,In Grace Period,577,6686512.789999997,1420991.0154873258,0.21251600948292307,0.23829898226286655,0.8918041003150308
baseline,Baseline,1.0,2017,D,Late (16-30 days),303,3620732.579999999,769463.6393064079,0.21251600948292296,0.23829898226286642,0.8918041003150311
baseline,Baseline,1.0,2017,D,Late (31-120 days),1572,19122799.900000006,4063901.124888438,0.21251600948292287,0.23829898226286625,0.8918041003150301
baseline,Baseline,1.0,2017,E,Current,8946,103203462.43999997,26950541.83118716,0.26113989970884516,0.2936355948417155,0.8893332562410026
baseline,Baseline,1.0,2017,E,Default,4,51382.86,45696.48619877547,0.8893332562410008,1.0,0.8893332562410008
baseline,Baseline,1.0,2017,E,In Grace Period,214,2934900.71,766419.6770648197,0.2611398997088456,0.2936355948417149,0.8893332562410011
baseline,Baseline,1.0,2017,E,Late (16-30 days),109,1513165.9900000002,395148.0148714361,0.2611398997088456,0.2936355948417148,0.889333256241001
baseline,Baseline,1.0,2017,E,Late (31-120 days),646,8783774.100000001,2293793.8875391544,0.26113989970884544,0.293635594841715,0.8893332562410005
baseline,Baseline,1.0,2017,F,Current,2250,31839958.92999997,9651898.561561946,0.30313790865062384,0.3432737129735651,0.8830792955998015
baseline,Baseline,1.0,2017,F,In Grace Period,72,1164565.4700000002,353023.9410625309,0.30313790865062384,0.343273712973565,0.8830792955998005
baseline,Baseline,1.0,2017,F,Late (16-30 days),38,608385.77,184424.78997059952,0.30313790865062396,0.343273712973565,0.8830792955998004
baseline,Baseline,1.0,2017,F,Late (31-120 days),227,3761268.229999999,1140182.985116234,0.303137908650624,0.3432737129735652,0.8830792955998005
baseline,Baseline,1.0,2017,G,Current,1117,17959659.649999984,5784503.730965881,0.3220831487731387,0.3638273272503619,0.885263762915486
baseline,Baseline,1.0,2017,G,In Grace Period,52,910062.02,293115.640980443,0.32208314877313854,0.3638273272503616,0.8852637629154845
baseline,Baseline,1.0,2017,G,Late (16-30 days),21,421953.70999999996,135904.17955330777,0.3220831487731386,0.3638273272503617,0.8852637629154847
baseline,Baseline,1.0,2017,G,Late (31-120 days),134,2313093.73,745008.5119658039,0.32208314877313854,0.36382732725036165,0.8852637629154847
baseline,Baseline,1.0,2018,A,Current,121070,1554548733.81997,76616761.8693675,0.04928553232364626,0.055080359680009586,0.8947932186712975
baseline,Baseline,1.0,2018,A,In Grace Period,305,4175795.1400000006,205806.28634939593,0.049285532323646485,0.055080359680008725,0.8947932186712739
baseline,Baseline,1.0,2018,A,Late (16-30 days),160,2130847.41,105019.94890231338,0.04928553232364648,0.05508035968000874,0.894793218671274
baseline,Baseline,1.0,2018,A,Late (31-120 days),515,7528314.6800000025,371036.99650372245,0.049285532323646485,0.05508035968000871,0.8947932186712739
baseline,Baseline,1.0,2018,B,Current,123264,1682408562.560036,171211469.4864686,0.1017656907463338,0.11377813045566032,0.8944222438774193
baseline,Baseline,1.0,2018,B,Default,1,3250.42,2907.247949944134,0.8944222438774477,1.0,0.8944222438774477
baseline,Baseline,1.0,2018,B,In Grace Period,616,9075338.34,923558.0749267996,0.10176569074633526,0.11377813045566317,0.8944222438774476
baseline,Baseline,1.0,2018,B,Late (16-30 days),371,5490059.630000003,558699.7104855201,0.10176569074633526,0.11377813045566312,0.8944222438774474
baseline,Baseline,1.0,2018,B,Late (31-120 days),1570,24709095.669999998,2514538.188574832,0.10176569074633528,0.11377813045566329,0.894422243877448
baseline,Baseline,1.0,2018,C,Current,108070,1498692662.7600355,244929392.13399822,0.16342869903888713,0.18306731200077475,0.8927246336483735
baseline,Baseline,1.0,2018,C,In Grace Period,972,15026142.519999992,2455702.9236165877,0.1634286990388927,0.1830673120007808,0.8927246336483902
baseline,Baseline,1.0,2018,C,Late (16-30 days),491,7623399.4,1245882.2461958742,0.16342869903889257,0.18306731200078077,0.8927246336483903
baseline,Baseline,1.0,2018,C,Late (31-120 days),2352,36476754.99000001,5961348.613176133,0.1634286990388925,0.1830673120007808,0.8927246336483902
baseline,Baseline,1.0,2018,D,Current,56234,782307902.7799945,166252953.6857593,0.2125160094829235,0.23829898226286808,0.8918041003150402
baseline,Baseline,1.0,2018,D,Default,6,78692.07999999999,70177.9196063184,0.8918041003150307,1.0,0.8918041003150307
baseline,Baseline,1.0,2018,D,In Grace Period,708,10928666.209999999,2322516.53192006,0.212516009482923,0.23829898226286636,0.891804100315031
baseline,Baseline,1.0,2018,D,Late (16-30 days),387,5891778.49,1252097.2534521217,0.21251600948292299,0.2382989822628664,0.891804100315031
baseline,Baseline,1.0,2018,D,Late (31-120 days),1894,28916540.400000002,6145227.773859731,0.21251600948292315,0.23829898226286633,0.8918041003150304
baseline,Baseline,1.0,2018,E,Current,14796,201118738.90000054,52520127.30591558,0.26113989970884527,0.2936355948417144,0.8893332562410017
baseline,Baseline,1.0,2018,E,In Grace Period,238,3482917.85,909528.8180431478,0.2611398997088455,0.29363559484171486,0.8893332562410009
baseline,Baseline,1.0,2018,E,Late (16-30 days),141,2061350.5500000003,538300.8758917736,0.2611398997088455,0.29363559484171486,0.8893332562410008
baseline,Baseline,1.0,2018,E,Late (31-120 days),700,10554487.099999998,2756197.7027723044,0.26113989970884566,0.293635594841715,0.8893332562410008
baseline,Baseline,1.0,2018,F,Current,2276,39363587.419999994,11932595.567484807,0.3031379086506239,0.34327371297356535,0.8830792955998011
baseline,Baseline,1.0,2018,F,In Grace Period,46,954507.98,289347.5528475317,0.30313790865062407,0.34327371297356507,0.8830792955998006
baseline,Baseline,1.0,2018,F,Late (16-30 days),37,642599.21,194796.18061994313,0.303137908650624,0.34327371297356507,0.8830792955998006
baseline,Baseline,1.0,2018,F,Late (31-120 days),147,2696533.72,817421.5924866872,0.30313790865062396,0.343273712973565,0.8830792955998006
baseline,Baseline,1.0,2018,G,Current,472,8485711.049999997,2733104.534563016,0.3220831487731387,0.3638273272503618,0.8852637629154848
baseline,Baseline,1.0,2018,G,In Grace Period,9,197962.5,63760.385339002445,0.3220831487731386,0.36382732725036165,0.8852637629154847
baseline,Baseline,1.0,2018,G,Late (16-30 days),7,122366.19,39412.087778572146,0.3220831487731386,0.3638273272503616,0.8852637629154845
baseline,Baseline,1.0,2018,G,Late (31-120 days),39,761175.3699999999,245161.75993815882,0.32208314877313865,0.36382732725036165,0.8852637629154849
moderate,Moderate Deterioration,1.25,2013,B,Late (31-120 days),1,803.55,102.21727599902212,0.12720711343291907,0.142222663069579,0.8944222438774477
moderate,Moderate Deterioration,1.25,2013,C,In Grace Period,1,553.53,113.07835972374777,0.20428587379861574,0.22883414000097596,0.8927246336483904
moderate,Moderate Deterioration,1.25,2013,C,Late (31-120 days),1,11.19,2.28595892780651,0.20428587379861576,0.22883414000097596,0.8927246336483903
moderate,Moderate Deterioration,1.25,2013,D,Current,3,2671.9,709.7769071717772,0.26564501185365363,0.2978737278285829,0.8918041003150305
moderate,Moderate Deterioration,1.25,2013,F,Late (31-120 days),1,286.36,108.50821440149086,0.37892238581327997,0.4290921412169563,0.8830792955998006
moderate,Moderate Deterioration,1.25,2013,G,Current,1,507.28,204.23292463704715,0.4026039359664232,0.45478415906295205,0.8852637629154846
moderate,Moderate Deterioration,1.25,2014,A,Current,226,619143.7899999996,38143.53909378746,0.06160691540455811,0.06885044960001094,0.8947932186712747
moderate,Moderate Deterioration,1.25,2014,A,In Grace Period,1,1559.88,96.0993952012621,0.0616069154045581,0.06885044960001092,0.894793218671274
moderate,Moderate Deterioration,1.25,2014,A,Late (16-30 days),1,4545.52,280.035466109727,0.06160691540455811,0.06885044960001092,0.894793218671274
moderate,Moderate Deterioration,1.25,2014,A,Late (31-120 days),1,4269.61,263.0375020804553,0.0616069154045581,0.06885044960001092,0.894793218671274
moderate,Moderate Deterioration,1.25,2014,B,Current,1936,5427194.280000003,690377.7183984477,0.12720711343291866,0.14222266306957904,0.8944222438774441
moderate,Moderate Deterioration,1.25,2014,B,Default,1,2274.99,2034.8016605987546,0.8944222438774477,1.0,0.8944222438774477
moderate,Moderate Deterioration,1.25,2014,B,In Grace Period,16,55838.51999999999,7103.0569475663215,0.12720711343291913,0.14222266306957904,0.8944222438774478
moderate,Moderate Deterioration,1.25,2014,B,Late (16-30 days),4,21715.89,2762.415682526793,0.12720711343291907,0.14222266306957904,0.8944222438774476
moderate,Moderate Deterioration,1.25,2014,B,Late (31-120 days),23,88942.61000000002,11314.132679289884,0.12720711343291907,0.14222266306957898,0.8944222438774476
moderate,Moderate Deterioration,1.25,2014,C,Current,3835,9001894.180000003,1838959.8184039718,0.20428587379861549,0.22883414000097593,0.8927246336483889
moderate,Moderate Deterioration,1.25,2014,C,In Grace Period,48,128497.66999999998,26250.25879703617,0.20428587379861576,0.22883414000097602,0.8927246336483906
moderate,Moderate Deterioration,1.25,2014,C,Late (16-30 days),18,45384.94,9271.502125197747,0.2042858737986157,0.22883414000097593,0.8927246336483903
moderate,Moderate Deterioration,1.25,2014,C,Late (31-120 days),87,275112.63,56201.62401258526,0.2042858737986157,0.22883414000097602,0.8927246336483902
moderate,Moderate Deterioration,1.25,2014,D,Current,3433,7959842.830000011,2114492.5429285686,0.2656450118536531,0.29787372782858224,0.8918041003150308
moderate,Moderate Deterioration,1.25,2014,D,In Grace Period,61,166741.93000000005,44294.161971351095,0.26564501185365363,0.29787372782858285,0.8918041003150304
moderate,Moderate Deterioration,1.25,2014,D,Late (16-30 days),23,69260.44999999998,18398.69306123939,0.2656450118536538,0.297873727828583,0.8918041003150307
moderate,Moderate Deterioration,1.25,2014,D,Late (31-120 days),115,400748.62,106456.8719102354,0.2656450118536538,0.297873727828583,0.8918041003150302
moderate,Moderate Deterioration,1.25,2014,E,Current,1724,4511978.039999999,1472821.8660676416,0.32642487463605696,0.3670444935521435,0.8893332562410016
moderate,Moderate Deterioration,1.25,2014,E,In Grace Period,48,180184.37000000002,58816.66038862691,0.32642487463605696,0.3670444935521435,0.8893332562410007
moderate,Moderate Deterioration,1.25,2014,E,Late (16-30 days),16,52031.67,16984.431356854686,0.32642487463605696,0.3670444935521437,0.8893332562410009
moderate,Moderate Deterioration,1.25,2014,E,Late (31-120 days),75,277986.3,90741.64312804132,0.32642487463605696,0.36704449355214364,0.8893332562410007
moderate,Moderate Deterioration,1.25,2014,F,Current,451,1325072.15,502099.5004527323,0.3789223858132799,0.4290921412169563,0.8830792955998001
moderate,Moderate Deterioration,1.25,2014,F,In Grace Period,14,51960.21,19688.886740559046,0.3789223858132799,0.42909214121695627,0.8830792955998004
moderate,Moderate Deterioration,1.25,2014,F,Late (16-30 days),7,24731.190000000006,9371.20151880153,0.3789223858132798,0.4290921412169562,0.8830792955998005
moderate,Moderate Deterioration,1.25,2014,F,Late (31-120 days),24,95875.5,36329.37320104112,0.3789223858132799,0.4290921412169562,0.8830792955998005
moderate,Moderate Deterioration,1.25,2014,G,Current,142,384269.2899999999,154708.3286250229,0.40260393596642324,0.4547841590629523,0.8852637629154847
moderate,Moderate Deterioration,1.25,2014,G,In Grace Period,7,17292.64,6962.084927250408,0.4026039359664232,0.45478415906295205,0.8852637629154846
moderate,Moderate Deterioration,1.25,2014,G,Late (16-30 days),3,12900.09,5193.627008321097,0.40260393596642324,0.454784159062952,0.8852637629154845
moderate,Moderate Deterioration,1.25,2014,G,Late (31-120 days),6,16820.440000000002,6771.975348687063,0.40260393596642313,0.45478415906295194,0.8852637629154846
moderate,Moderate Deterioration,1.25,2015,A,Current,1408,8605510.840000004,530158.9783328881,0.06160691540455812,0.06885044960001084,0.894793218671273
moderate,Moderate Deterioration,1.25,2015,A,In Grace Period,9,63792.08,3930.0332760408032,0.06160691540455811,0.06885044960001094,0.894793218671274
moderate,Moderate Deterioration,1.25,2015,A,Late (16-30 days),3,20174.670000000002,1242.8991880048764,0.0616069154045581,0.06885044960001092,0.8947932186712739
moderate,Moderate Deterioration,1.25,2015,A,Late (31-120 days),19,91950.02,5664.757103587426,0.06160691540455811,0.06885044960001092,0.8947932186712739
