segment_type,segment_value,loans,exposure,defaults,default_rate,exposure_share,default_contribution,vs_portfolio_pp,risk_multiple
state,CT,10354,137555875.0,1343,0.12970832528491405,0.015576146859341998,0.013357070395639806,-1.8961943322897246,0.872456386199729
state,MT,1953,23807550.0,248,0.12698412698412698,0.002695849196998148,0.002466532731287172,-2.168614162368432,0.8541326263363938
state,WA,14979,198826450.0,1872,0.1249749649509313,0.022514123694982995,0.0186183438426193,-2.3695303656879996,0.840618410938722
state,SC,7766,99737750.0,950,0.12232809683234612,0.011293809453215556,0.009448411672269409,-2.6342171775465175,0.8228147966493878
state,CO,14170,188132825.0,1709,0.12060691601976006,0.021303230496428363,0.01699719531358781,-2.8063352588051234,0.811237627732538
state,OR,8538,103913425.0,1026,0.12016865776528461,0.011766642235071532,0.010204284606050962,-2.8501610842526683,0.8082897736755069
state,KS,5909,76187925.0,700,0.11846336097478423,0.008627143760370349,0.006961987547987986,-3.0206907633027065,0.7968194453679761
state,WY,1522,20897475.0,177,0.11629434954007885,0.002366326698800963,0.0017603882799912477,-3.2375919067732446,0.7822300358309073
state,WV,3080,38547900.0,347,0.11266233766233766,0.004364973517265107,0.0034511566845026155,-3.6007930945473636,0.7578000545592494
state,VT,1324,16320325.0,143,0.10800604229607251,0.0018480328738571922,0.0014222345990889743,-4.066422631173879,0.7264804409615344
state,ME,338,4228950.0,35,0.10355029585798817,0.0004788653793290497,0.00034809937739939926,-4.5119972749823125,0.6965097785028656
state,NH,3231,42475800.0,329,0.10182606004333024,0.004809749483750068,0.003272134147554353,-4.684420856448106,0.6849120607425888
state,DC,1989,27250400.0,199,0.10005027652086476,0.0030857005008024063,0.0019791936029280133,-4.8619992086946535,0.6729676179222832
state,ID,12,88350.0,1,0.08333333333333333,1.0004316973178104e-05,9.945696497125694e-06,-6.533693527447797,0.5605245360332584
sub_grade,F5,1147,22144550.0,468,0.4080209241499564,0.0025075393030944107,0.004654585960654825,25.93506555421451,2.7444688704121876
sub_grade,G3,345,6987050.0,139,0.4028985507246377,0.0007911789802766731,0.0013824518131004713,25.422828211682642,2.7100142785607977
sub_grade,G1,765,14564900.0,299,0.3908496732026144,0.0016492572301374279,0.0029737632526405824,24.217940459480307,2.6289699807677533
sub_grade,F4,1523,26799975.0,565,0.37097833223900195,0.0030346966018477517,0.005619318520876017,22.230806363119065,2.4953094906799027
sub_grade,G2,525,10035000.0,191,0.3638095238095238,0.001136313761469635,0.0018996280309510076,21.513925520171252,2.4470899744537684
sub_grade,F3,2109,33366475.0,736,0.3489805595068753,0.003778254580391883,0.007320032621884511,20.0310290899064,2.3473459944266186
sub_grade,F2,2347,39478475.0,806,0.3434171282488283,0.004470347227138511,0.00801623137668331,19.474685964101702,2.309924717730582
sub_grade,G5,182,3276450.0,62,0.34065934065934067,0.00037100899090853874,0.000616633182821793,19.19890720515294,2.291375026421672
sub_grade,G4,243,4980775.0,80,0.3292181069958848,0.0005639983233965045,0.0007956557197700554,18.05478383880735,2.214417920131391
sub_grade,E5,4183,63793650.0,1305,0.31197704996414055,0.007223677368149217,0.012979133928749031,16.330678135632926,2.0984494942100946
sub_grade,F1,3223,48738525.0,997,0.30933912503878375,0.005518909483929432,0.009915859407634316,16.066885643097244,2.0807060344715804
sub_grade,E4,5039,78023750.0,1553,0.3081960706489383,0.008835023502388286,0.015445666660036203,15.9525802041127,2.0730175140932334
sub_grade,E3,6176,92450800.0,1824,0.29533678756476683,0.010468671280406273,0.018140950410757264,14.666651895695553,1.9865221898795273
sub_grade,E2,7895,116307600.0,2299,0.29119696010132995,0.013170097303787319,0.02286515624689197,14.252669149351865,1.9586764914611188
sub_grade,E1,8854,126357650.0,2473,0.2793087869889316,0.014308115252811525,0.02459570743739184,13.06385183811203,1.878713138843797
sub_grade,D5,12212,170323250.0,3170,0.2595807402554864,0.019286562319206082,0.031527857895888446,11.09104716476751,1.7460164879385154
sub_grade,D4,14599,192107675.0,3721,0.2548804712651552,0.021753322848673262,0.03700793666580471,10.621020265734387,1.7144010947980723
sub_grade,D2,19664,238236400.0,4669,0.23743897477624085,0.02697671149008317,0.04643645694507986,8.876870616842956,1.5970844540719795
sub_grade,D3,17056,214120075.0,4023,0.23587007504690433,0.024245898139452954,0.040011537007936665,8.719980643909302,1.5865315725575508
sub_grade,D1,23595,291605175.0,5188,0.21987709260436533,0.03301992758029509,0.0515982734270881,7.120682399655403,1.478958063796844
sub_grade,C5,28823,372739175.0,6080,0.2109426499670402,0.042207140407706886,0.06046983470252422,6.227238135922891,1.418862372028815
sub_grade,C4,32403,422065800.0,6543,0.2019257476159615,0.04779264342657606,0.06507469218069341,5.325547900815019,1.358212031947268
sub_grade,C3,36122,460184225.0,6780,0.18769724821438458,0.05210898531925649,0.0674318222505122,3.902697960657328,1.262506955641047
sub_grade,C2,40344,492938275.0,6871,0.17031033115209201,0.05581789192203323,0.06833688063175064,2.164006254428072,1.1455574322083637
sub_grade,C1,42518,514626050.0,6720,0.15805070793546264,0.05827370828358351,0.06683508046068466,0.9380439327651341,1.063095596823039
sub_grade,B5,42312,511577400.0,6015,0.14215825297787862,0.05792849423785313,0.059823364430211044,-0.6512015629932671,0.9561982655246879
sub_grade,B4,46217,577451525.0,5771,0.12486747300776771,0.06538775430384923,0.05739661448491238,-2.3802795600043587,0.839895388479893
sub_grade,B3,48444,617079750.0,5449,0.11248038972834613,0.06987505848024336,0.0541941002128379,-3.618987887946516,0.7565762191838556
sub_grade,B2,43705,564684175.0,4349,0.09950806543873698,0.06394204274405857,0.04325383406599964,-4.916220316907431,0.669320546539382
sub_grade,B1,39518,503132950.0,3466,0.08770686775646541,0.05697228649066406,0.034471784059037655,-6.096340085134589,0.5899422162734775
sub_grade,A5,41499,584369175.0,3143,0.07573676474131907,0.06617107477141579,0.031259324090466056,-7.293350386649222,0.5094277790074551
sub_grade,A4,33862,474572975.0,2096,0.06189829307187998,0.05373829619472697,0.020846179857975454,-8.677197553593132,0.4163461440643942
sub_grade,A3,23457,325589775.0,1140,0.048599565161785395,0.03686817557810684,0.01133809400672329,-10.007070344602589,0.3268949845647344
sub_grade,A2,22482,302112450.0,924,0.041099546303709635,0.034209719426637475,0.00918982356334414,-10.757072230410166,0.2764476494767712
sub_grade,A1,22914,314365700.0,631,0.027537749847254954,0.03559721684544443,0.006275734489686313,-12.113251876055633,0.18522701347839018
term,60,55280,1084448050.0,13942,0.2522069464544139,0.12279753291618445,0.13866290056292643,10.353667784660258,1.6964181797487023
term,36,621022,7746739550.0,86604,0.13945399679882517,0.8772024670838156,0.8613370994370736,-0.9216271808986126,0.9380086422437398
