segment_type,segment_value,loans,outstanding_exposure,exposure_share,weighted_average_interest_rate,delinquent_exposure_rate,exposure_weighted_months_on_book
purpose,renewable_energy,508,3942531.67,0.00041455017115635414,13.939586203831308,0.057660561544709166,14.622000850027414
purpose,wedding,5,39172.61,4.11893005291727e-06,12.954952687604937,,18.899597958879944
purpose,educational,1,3953.12,4.1566351516501747e-07,21.45,,16.0
state,CA,117046,1262491355.3600042,0.13274871358177504,13.009670915600216,0.04388190168177615,14.358546044151481
state,TX,75618,814488389.7799968,0.08564200104146809,13.078546156419355,0.03973679363157309,15.04611238842848
state,NY,75924,762493531.0999988,0.08017483441626161,13.431758135016624,0.04819003474952899,15.110691164118116
state,FL,65809,672133930.9699998,0.07067368367483692,13.290289462547365,0.04602213634023585,14.460933054060979
state,IL,39099,412480688.08999956,0.04337160843818917,13.225394468526263,0.03162144181924486,15.5378583328042
state,NJ,34393,371885499.24000055,0.03910309675724392,13.10359452085395,0.03965178040051397,15.237304144260401
state,GA,30567,327636201.0599999,0.03445036199961347,13.525289663139745,0.03870126682880789,15.237870155397552
state,PA,31127,317305651.52000016,0.03336412314640824,13.27455225809901,0.04019480692796956,15.641645566836594
state,OH,31006,307103930.3499997,0.03229143036646335,13.439103925288176,0.029975396275484397,15.581680406618101
state,VA,24705,277768484.7900003,0.029206860603743934,13.197946695818853,0.04179814747082484,15.58443969297931
state,NC,24784,258602903.60999998,0.027191633936337067,13.22747148705225,0.04134434788143099,15.23063618604974
state,MD,22618,251616214.54999974,0.026456996046760054,13.406192807788994,0.048673123558046205,15.31986737950868
state,MI,23361,230160338.41999936,0.024200948951518537,13.33616087325013,0.04075729221809696,15.205162744824626
state,AZ,20885,216654689.6899997,0.02278085408323839,13.133761919927334,0.04065631333715171,14.474194290725972
state,MA,20607,216259809.24999955,0.02273933310948592,13.003530157378076,0.03852956376359153,15.041611817938898
state,CO,18342,197108771.73000002,0.02072563568198052,13.021934663021588,0.032462086206720225,14.248921107363032
state,WA,17735,191158797.21000016,0.020100006476662838,13.25781770310922,0.033223233524654984,14.50802949133078
state,CT,15913,165632147.1299999,0.01741592476332242,13.310705458751976,0.036570169468647176,15.519050590478205
state,IN,15708,160521135.9200001,0.016878511053241185,13.383661910126227,0.03653081599747999,15.402447244904842
state,MN,15431,156843523.05999988,0.016491816622309727,13.165505949760323,0.036489782098369575,15.439336281764364
state,TN,14988,152722750.51999995,0.016058524741675736,13.41011851208375,0.03822408187466163,15.110187888004289
state,MO,14660,148238388.05000004,0.015587002028589807,13.27304187712328,0.04165633795152427,15.286865906526556
state,NV,12288,127912136.10000004,0.0134497329004918,13.254809598939238,0.03648331809853965,14.030495819074972
state,SC,11932,125114410.63000008,0.013155557058795399,13.54308347730094,0.033897098013288995,15.509886355286886
state,WI,12021,122857947.6,0.012918293996988586,13.065532447446648,0.04268676624059118,15.02421586993857
state,AL,10579,109661638.23000011,0.011530725610514306,13.832581592780036,0.047421636170462994,15.6386807875613
state,OR,10310,105149830.11,0.011056317036297152,13.157595436017019,0.0301968833109701,14.410238808325936
state,LA,10190,102862192.52,0.010815776025125462,13.465026141835345,0.04850239731211205,15.813253184679454
state,KY,8976,90456631.21000001,0.009511353386371836,13.479328220680054,0.03585354336787932,15.333474698499101
state,OK,8349,88656295.1099999,0.009322051257469975,13.455074530947218,0.04089673097100848,15.289646543859526
state,KS,7809,81109849.85999997,0.008528556003185936,13.228585008563105,0.03099898168150796,15.616083272330716
state,AR,6984,69334415.59000003,0.007290390098466933,13.55295373612449,0.04269244349738089,14.949238680818869
state,MS,6021,61310499.460000046,0.006446689633015574,13.845786540327095,0.05070281546194401,15.688448568218515
state,UT,4907,55677799.64999997,0.005854421297398654,13.077816452173685,0.04093989569144192,13.88659280378011
state,NM,4580,48034793.68000004,0.005050772855682393,13.45487190361134,0.0420308662810103,15.16807445710672
state,NH,4652,47594926.84999999,0.005004521643282488,12.890558548224762,0.03664498856142271,15.394619697372228
state,HI,3886,43802792.05999999,0.00460578543573226,14.001960120968587,0.04764882012865919,14.815652268719797
state,NE,4205,42679421.670000024,0.004487665043449789,13.297974195546304,0.03359273026437894,14.376522230649037
state,RI,4104,41299250.85000001,0.00434254254411524,13.237525807565579,0.03569797271516366,14.74140492211856
state,WV,3455,41031944.65000002,0.00431443577409121,13.243994312892,0.02035211119344302,12.581245235960314
state,ME,2922,30165510.230000015,0.003171849581836145,13.130218220021797,0.02051084517657767,14.817054969469346
state,DE,2637,28206961.540000003,0.0029659116813658213,13.439798226523202,0.03949820892335644,14.932594698393725
state,ID,2597,27756553.28999999,0.0029185520574600637,13.379676186592555,0.0335808726055266,13.06465159997537
state,MT,2454,24106306.699999988,0.0025347351409944568,13.325121751475114,0.03563406749487678,15.151567302510093
state,AK,2023,24022202.379999995,0.002525891721798541,13.31977972176671,0.04552637858510957,15.67440533235571
state,ND,1975,21335217.729999997,0.0022433600797503754,13.432094395776287,0.03095700303406279,14.7987834816439
state,VT,2269,20833111.910000004,0.0021905645485937168,13.631607416954541,0.03192673100751369,15.660450348437642
state,DC,1866,20161118.86,0.0021199056783015265,12.597850627834648,0.04339441952975025,14.973924694673416
state,WY,1818,19756185.330000017,0.002077327640071477,13.620185613003642,0.028870809342625234,15.374603309615727
state,SD,1769,18187781.24,0.0019124127482269093,13.31890688259675,0.03638694413942709,14.76620677234405
status,Current,873780,9125761309.859892,0.9595575202911313,13.12203137244319,,14.853247582553339
status,Late (31-120 days),21441,244246366.33999997,0.025682069656161967,16.350545114407215,1.0,18.586430597008796
status,In Grace Period,8329,92044361.52000009,0.00967830039576914,16.144800122379067,1.0,18.383328125887747
status,Late (16-30 days),4314,47949885.62999999,0.00504184492571092,16.140330613560213,1.0,17.521356171376546
status,Default,40,382933.08999999997,4.026473121544552e-05,17.58114757776613,,21.60127825464235
term,60,325108,4872560039.900082,0.5123409949704197,15.032396189704224,0.04532274556734416,17.337910356333552
term,36,582796,4637824816.539871,0.48765900502957543,11.376568494020502,0.03523264051657506,12.537634331262066
